Predicate,Count
P-Filmed_at,23
P-Home_to,23
P-Adapted_from,23
P-Signed_with,23
P-filmed_in,22
P-Covers,22
P-Discovered,22
P-Dedicated_to,22
P-published,22
P-included_in,22
P-Produced_in,22
P-Operated_in,22
P-became,22
P-leader_of,22
P-Broadcasts,22
P-Involves,22
P-Affiliate_of,22
P-works_in,22
P-voiced,22
P-Featuring,22
P-Voiced_by,22
P-locatedIn,21
P-near,21
P-birthplace,21
P-Residence,21
P-wrote_about,21
P-Reflects,21
P-Replaced_by,21
P-Released_on,21
P-Album,21
P-Works_with,21
P-is_about,21
P-Participates_in,21
P-introduced,21
P-stars,21
P-portrayed_by,21
P-release_year,20
P-mentioned_in,20
P-Resident_of,20
P-edited,20
P-Mentions,20
P-studied,20
P-Collaboration_with,20
P-Employed_at,20
P-Brother,20
P-Friend_of,20
P-Parent_of,20
P-Became,20
P-Indirectly_connected_to,20
P-Purchased,20
P-Year_of_release,20
P-Premiered_on,20
P-met,19
P-mentions,19
P-Aligned_with,19
P-Honors,19
P-Founder_of,19
P-Depicts,19
P-Known_as,19
P-Collaborator,19
P-Raised_in,19
P-faced,19
P-Specializes_in,19
P-Invested_in,19
P-Starring_in,19
P-Release_year,19
P-Premiered_at,18
P-child_of,18
P-Title,18
P-connected_with,18
P-reflects,18
P-Donated_to,18
P-manages,18
P-interacted_with,18
P-managed_by,18
P-Introduced,18
P-aligned_with,18
P-founding_member_of,18
P-Contribution_to,18
P-Contains,18
P-sold_to,18
P-Played_as,18
P-hosted_on,18
P-Earned_degree,18
P-Coach_of,18
P-filmed_at,18
P-Born_at,17
P-Collaborated_on,17
P-Located_on,17
P-also_known_as,17
P-Founder,17
P-Built_by,17
P-Covered,17
P-Promotes,17
P-known_for,17
P-Role_in,17
P-Sent_to,17
P-opposed,17
P-Wrote_about,17
P-Performed_with,17
P-Head_coach_of,17
P-traded_to,17
P-Residence_location,17
P-Division_of,17
P-influences,17
P-awarded_by,17
P-launched,16
P-Ruled_by,16
P-Parent,16
P-owned,16
P-connected_through,16
P-Collaboration,16
P-Returned_to,16
P-Occurred_in,16
P-connects,16
P-was,16
P-about,16
P-renamed_to,16
P-Team,16
P-funded_by,16
P-is_married_to,16
P-Relocated_to,16
P-recognized_by,16
P-Featured_on,16
P-earned,16
P-located_on,16
P-Works_for,16
P-supported_by,15
P-Patron_of,15
P-specializes_in,15
P-served_under,15
P-premiered_at,15
P-Partners_with,15
P-established_in,15
P-Exhibited_at,15
P-Author,15
P-explores,15
P-Active_in,15
P-Worked_alongside,15
P-father_of,15
P-awarded_to,15
P-Signed_by,15
P-founded_in,15
P-Released_under,15
P-affiliatedWith,15
P-Starred_as,15
P-Starred,15
P-Studied,15
P-Assassinated_in,15
P-aired_on,14
P-relates_to,14
P-Later_became,14
P-Influence,14
P-Edited,14
P-held_at,14
P-performed,14
P-Edited_by,14
P-Captured,14
P-Birthplace_of,14
P-Represented,14
P-headquartered_in,14
P-position,14
P-originates_from,14
P-situated_in,14
P-recorded_in,14
P-houses,14
P-composed,14
P-buried_in,14
P-produced_by,14
P-Trained_by,14
P-became_part_of,14
P-similar_to,14
P-divorced_from,14
P-Used_in,14
P-Utilizes,14
P-Chancellor_of,14
P-Interacted_with,13
P-basedIn,13
P-Performed_on,13
P-contributed_vocals_to,13
P-impacted,13
P-worked_alongside,13
P-Controlled_by,13
P-friend_of,13
P-serves,13
P-is_an,13
P-Son_of,13
P-Setting_location,13
P-Is_associated_with,13
P-profession,13
P-broadcasts,13
P-Broadcasts_on,13
P-Birth_place,13
P-Held_in,13
P-inspired,13
P-Hometown,13
P-Ties_to,13
P-Close_to,13
P-Originates_from,13
P-Passed_away_in,13
P-Co-starred_with,13
P-Recipient,13
P-Impacted,13
P-Interacts_with,13
P-Compatible_with,13
P-Played_role,13
P-Signed_to,13
P-Provides,13
P-Has,13
P-Part_of_series,13
P-included,12
P-actedIn,12
P-Divorced_from,12
P-Mother_of,12
P-starred_as,12
P-AssociatedWith,12
P-Focus_on,12
P-performed_by,12
P-produced_in,12
P-works_for,12
P-acted_alongside,12
P-Settled_in,12
P-Administered_by,12
P-broadcast_on,12
P-Discusses,12
P-Situated_near,12
P-Organizes,12
P-served_in,12
P-competed_in,12
P-Transferred_to,12
P-Location_of,12
P-represented,12
P-LocatedIn,12
P-Co-wrote,12
P-Inspired,12
P-Connects,12
P-Lives_in,12
P-Is_from,12
P-led_to,12
P-Managed,12
P-Works_in,12
P-Formed,12
P-Launched,12
P-Performer,12
P-operated_in,12
P-acted_as,12
P-Replaced,12
P-Launched_on,12
P-Announced,12
P-affiliate_of,12
P-Operates_under,12
P-participates_in,12
P-signed,12
P-Distributes,12
P-donated_to,12
P-League,12
P-Renamed_to,12
P-Includes_artist,12
P-Broadcast_on,12
P-Child,12
P-works_with,12
P-Oversees,12
P-Starred_by,12
P-Has_member,12
P-Alumni_of,12
P-voiced_by,12
P-Sister,11
P-year,11
P-Spouse_of,11
P-traveled_to,11
P-Ruled_over,11
P-appointed,11
P-Constructed,11
P-Recorded_in,11
P-Bishop_of,11
P-Highlights,11
P-returned_to,11
P-Oversaw,11
P-Shot_in,11
P-interacts_with,11
P-succeeded_by,11
P-tied_to,11
P-influence,11
P-Recognizes,11
P-Work_location,11
P-takes_place_in,11
P-Competes_in,11
P-Influence_on,11
P-role_in,11
P-has_no_connection_with,11
P-Promoted,11
P-released_on,11
P-CEO_of,11
P-collaborated_on,11
P-Partner,11
P-Star,11
P-Consists_of,11
P-Played_role_of,11
P-Voices,11
P-Praised,11
P-played_by,11
P-Executive_producer,11
P-hosts,11
P-is_a_character_in,11
P-Influences,11
P-Star_of,11
P-covered,11
P-teaches_at,11
P-Alma_mater,11
P-has_office_in,11
P-work_on,10
P-indirectly_connected_to,10
P-Connection_with,10
P-Travelled_to,10
P-Acquired_from,10
P-Ruled,10
P-hometown,10
P-Competed_for,10
P-supervised,10
P-is_based_in,10
P-formed,10
P-Hosted_at,10
P-involved,10
P-resulted_in,10
P-Married,10
P-Work,10
P-Studied_under,10
P-highlights,10
P-Head_of,10
P-constructed_by,10
P-contribution_to,10
P-Ruler_of,10
P-engaged_with,10
P-is_popular_in,10
P-is_not_related_to,10
P-co-founder_of,10
P-Under,10
P-Place_of_origin,10
P-Venue,10
P-City,10
P-Opposed_by,10
P-Founded_in,10
P-conflict_with,10
P-is_based_on,10
P-Engaged_with,10
P-in,10
P-portrayed_as,10
P-Similar_to,10
P-Met_in,10
P-Airs_on,10
P-Introduced_by,10
P-formerly_known_as,10
P-formed_by,10
P-Parent_company_of,10
P-part_of_series,10
P-Sold,10
P-Merged_into,10
P-Is_a_member_of,10
P-operates_under,10
P-designed,10
P-provides,10
P-screened_at,10
P-has_won,10
P-Student_of,10
P-Implemented,10
P-collaboration_with,10
P-utilizes,10
P-parent_of,10
P-Brother_of,10
P-Rebranded_as,10
P-Departed_from,10
P-Appeared_as,10
P-Affiliated_With,10
P-Release_Year,10
P-Operated,10
P-replaced,10
P-Played_against,10
P-starred,10
P-Operates_within,10
P-released_under,10
P-Serves_as_hub_for,10
P-Integral_to,10
P-commissioned,9
P-Governed,9
P-Duke_of,9
P-from_album,9
P-Popular_in,9
P-Appeared_with,9
P-critiques,9
P-Origin_country,9
P-Commissioned,9
P-Co-founded_by,9
P-Centered_in,9
P-presence_in,9
P-Commissioned_by,9
P-Encompasses,9
P-By,9
P-defeated_by,9
P-album,9
P-Distributed_in,9
P-Flows_through,9
P-appeared_on,9
P-Painted,9
P-Appeared_on,9
P-Transitioned_to,9
P-addressed,9
P-Contributions_to,9
P-Led_to,9
P-Not_mentioned_in,9
P-Include,9
P-Refers_to,9
P-purchased,9
P-In,9
P-Designed_for,9
P-recorded_by,9
P-co-founded,9
P-Taught_by,9
P-Adapted_into,9
P-Named,9
P-developed_by,9
P-employed_by,9
P-Moved_from,9
P-division_of,9
P-sequel_to,9
P-State,9
P-lived_at,9
P-Won_against,9
P-Integrates_with,9
P-affected,9
P-traded,9
P-Governor_of,9
P-Customer,9
P-Runs_between,9
P-Partner_of,9
P-Situated_in,9
P-Contributed_lyrics_to,9
P-Artist,9
P-Education,9
P-attracts_students_from,9
P-Voiced_in,9
P-Place_of_death,8
P-focus_on,8
P-introduced_by,8
P-Work_on,8
P-hails_from,8
P-commanded,8
P-not_related_to,8
P-appeared_alongside,8
P-Lived_at,8
P-organized,8
P-Belongs_to,8
P-was_part_of,8
P-is_unrelated_to,8
P-Composer,8
P-Stayed_at,8
P-edited_by,8
P-Fled_to,8
P-Shaped,8
P-Composer_of,8
P-Death_location,8
P-Reached,8
P-part_of,8
P-Closely_tied_to,8
P-was_nominated_for,8
P-Origin_from,8
P-Fought_against,8
P-Constructed_by,8
P-influence_on,8
P-worked_as,8
P-Place_of_birth,8
P-managed,8
P-Explores,8
P-ruler_of,8
P-Wrote_for,8
P-Inducted_into,8
P-Opponent,8
P-Studied_in,8
P-Housed_at,8
P-birthplace_of,8
P-Place_of_Birth,8
P-Honored_by,8
P-operated,8
P-From_album,8
P-hosted_in,8
P-Controlled,8
P-Involved,8
P-promotes,8
P-organized_by,8
P-Partnership_with,8
P-Reviewed_by,8
P-Adapted,8
P-grew_up_in,8
P-integrated_into,8
P-played_role_of,8
P-hired,8
P-Composed_by,8
P-Covered_by,8
P-Used_for,8
P-airs,8
P-Maintained_by,8
P-Engraved_on,8
P-licensed_under,8
P-Utilized,8
P-transitioned_to,8
P-lost_to,8
P-starred_with,8
P-is_a_type_of,8
P-is_featured_in,8
P-rebranded_as,8
P-purchased_by,8
P-Mentor,8
P-Produced_for,8
P-airs_on,8
P-Joint_venture_with,8
P-Played_alongside,8
P-discussed,8
P-used,8
P-Executed_in,8
P-Played_with,8
P-Evolved_into,8
P-Head_coach,8
P-affiliate_with,8
P-utilized,8
P-offers,8
P-features_IP_of,8
P-voices,8
P-Honored,8
P-signed_by,8
P-Has_office,8
P-Mentioned_in,8
P-Recognized_as,8
P-Historically_linked_to,8
P-assists,8
P-profiled,8
P-Field_of_study,8
P-composed_for,8
P-earned_degree,8
P-Connected_via,7
P-Exhibited_in,7
P-refers_to,7
P-Wife,7
P-Subject_of,7
P-brother,7
P-Inherited_from,7
P-belongs_to,7
P-was_associated_with,7
P-Performs,7
P-advised,7
P-fought_against,7
P-Setting,7
P-friends_with,7
P-targeted,7
P-Son,7
P-resided_in,7
P-Influential_figure_in,7
P-CreatedBy,7
P-prominent_in,7
P-Set_location,7
P-restored,7
P-brother_of,7
P-criticized,7
P-Conflict_with,7
P-Career_location,7
P-Aligns_with,7
P-employed_at,7
P-Place_of_residence,7
P-was_a,7
P-Teammate,7
P-mother_of,7
P-influenced_by,7
P-referenced,7
P-Displayed_at,7
P-connected_via,7
P-Date,7
P-collaboratedWith,7
P-Roots_in,7
P-Included,7
P-founder_of,7
P-recorded_for,7
P-Proximity_to,7
P-role_as,7
P-type,7
P-played_against,7
P-has_album,7
P-Named_to,7
P-sent_to,7
P-Was,7
P-Coached,7
P-Hosted_concert,7
P-Co-authored_by,7
P-was_a_member_of,7
P-Starred_with,7
P-graduated_from,7
P-Nominee_for,7
P-Proposed_by,7
P-resident_of,7
P-location_of,7
P-is_a_subsidiary_of,7
P-Professor_at,7
P-Sued,7
P-explores_themes_of,7
P-_Profession,7
P-Played_at,7
P-Adaptation_of,7
P-Work_in,7
P-released_in_year,7
P-Formerly_known_as,7
P-Rivalry_with,7
P-directly_connected_to,7
P-set_on,7
P-Platform,7
P-AffiliatedWith,7
P-not_associated_with,7
P-Listed_as,7
P-Housed_in,7
P-featured_on,7
P-Expanded_to,7
P-is_related_to,7
P-no_connection_with,7
P-Opposes,7
P-acted_with,7
P-Faced_off_against,7
P-Worked_under,7
P-is_a_founding_member_of,7
P-Rooted_in,7
P-Traded_with,7
P-Season,7
P-Trade,7
P-originated_in,7
P-Controls,7
P-Acted_alongside,7
P-borders,7
P-Appears_on,7
P-Rebranded_from,7
P-Sequel_to,7
P-Has_child,7
P-Competes_with,7
P-is_a_suburb_of,7
P-co-wrote,7
P-Separated_from,7
P-serves_on_the_board_of,7
P-Endorsed_by,7
P-played_in,7
P-Wrote_screenplay_for,7
P-has_partnership,7
P-award,7
P-Focused_on,7
P-Consolidated_into,7
P-has_office,7
P-Reserve_places_for,7
P-Adheres_to,7
P-Architectural_style,7
P-Friends_with,6
P-Captured_by,6
P-reviewed,6
P-ruled_over,6
P-was_involved_in,6
P-About,6
P-appointed_as,6
P-Monarch_of,6
P-wrote_for,6
P-King_of,6
P-buried_at,6
P-performed_during,6
P-Written_in,6
P-Presence_in,6
P-Spent_time_in,6
P-relocated_to,6
P-No_connection_with,6
P-by,6
P-linked_with,6
P-Critiques,6
P-Targeted,6
P-Took_place_in,6
P-performed_on,6
P-broadcasted_on,6
P-Prominent_in,6
P-Alongside,6
P-Interviewed,6
P-Opposed_to,6
P-Based_at,6
P-Resulting_in,6
P-played_a_significant_role_in,6
P-active_in,6
P-Religion,6
P-Held_at,6
P-Performed_during,6
P-Showcases,6
P-charted_on,6
P-Historical_connection,6
P-Successor_of,6
P-fled_to,6
P-daughter,6
P-co-authored,6
P-Recognized,6
P-Appointed,6
P-ledBy,6
P-Reviewed,6
P-Year_released,6
P-has_connection_to,6
P-headquartersLocation,6
P-Ruled_in,6
P-Played_role_in,6
P-Supervised_by,6
P-Listed_on,6
P-funded,6
P-member_of,6
P-is_set_in,6
P-son,6
P-inherited,6
P-Co-authored_with,6
P-hosted_at,6
P-Hub_for,6
P-husband,6
P-Editor,6
P-took_place_at,6
P-Debut,6
P-was_taught_by,6
P-Taught,6
P-Relative_of,6
P-Appointed_by,6
P-introduces,6
P-Wife_of,6
P-Headquarters_of,6
P-Expelled_from,6
P-starred_alongside,6
P-Residing_in,6
P-won_against,6
P-Work_with,6
P-Launched_in,6
P-setting,6
P-involvement,6
P-held,6
P-composed_music_for,6
P-Host,6
P-transferred_to,6
P-Enrolled_in,6
P-Co-authored,6
P-holds,6
P-evolved_into,6
P-Executive_producer_of,6
P-Includes_member,6
P-housed_at,6
P-Linked_with,6
P-Selected_by,6
P-Integrated_with,6
P-Attended_school_in,6
P-Sibling_of,6
P-Contract_expired_with,6
P-Ethnicity,6
P-has_song,6
P-organizes,6
P-Expanded_into,6
P-Financed_by,6
P-MemberOf,6
P-Part_of_Series,6
P-held_on,6
P-provides_access_to,6
P-Symbol_of,6
P-appears_on,6
P-is_involved_with,6
P-work,6
P-Waived_by,6
P-Publishes,6
P-Advocates_for,6
P-not_connected,6
P-Nominee_of,6
P-Selected,6
P-Mentored_by,6
P-recipient_of,6
P-Host_of,6
P-discovered_by,6
P-is_not_associated_with,6
P-origin_from,6
P-Partnership,6
P-Received_award,6
P-Feuds_with,6
P-Exploring_sales_to,6
P-Headquartered_at,6
P-Runs_through,6
P-Degree,6
P-Traded,6
P-work_at,6
P-Case_accessible_through,6
P-Broadcasts_to,6
P-Worked_With,6
P-Contributor_to,6
P-Had_an_angle_involving_revenge_against,6
P-Brought_out,6
P-co-distributed_with,6
P-supports_audio_format,6
P-Supports_audio_format,6
P-Governed_by,6
P-headquarters_in,6
P-provides_pathways_to,6
P-Conducted_research_on,6
P-Legal_dispute_with,5
P-stayed_at,5
P-Resulted_in,5
P-Borders_with,5
P-flows_through,5
P-Daughter,5
P-played_as,5
P-succeeded,5
P-Absorbed_into,5
P-foundedBy,5
P-Restored,5
P-no_relation,5
P-Located_within,5
P-Honored_in,5
P-Proposed,5
P-Is_located_in,5
P-Married_in,5
P-Contributed_vocals_to,5
P-Fled_from,5
P-Launched_by,5
P-setting_location,5
P-Writes_for,5
P-connection_with,5
P-Reign_location,5
P-had,5
P-leads,5
P-Mentioned_alongside,5
P-retries_exceeded,5
P-capital_city,5
P-sister,5
P-Represented_by,5
P-romantically_involved_with,5
P-Professional_relationship_with,5
P-executive_produced,5
P-Ruled_during,5
P-Significance,5
P-Writes_about,5
P-Queen_of,5
P-Succeeded_by,5
P-Succeeded,5
P-helped,5
P-Resided_at,5
P-against,5
P-Explored,5
P-Artist_of,5
P-Assisted_by,5
P-ruled_in,5
P-Work_at,5
P-Commanded_by,5
P-Maintains,5
P-Died_at,5
P-Born_near,5
P-Grandfather_of,5
P-Corresponded_with,5
P-moved_from,5
P-Purchased_by,5
P-Debut_location,5
P-Heritage,5
P-son_of,5
P-Founding_team_member_of,5
P-Connection_through,5
P-Type_of,5
P-left,5
P-administered_by,5
P-Converted_to,5
P-Alumnus_of,5
P-written_in,5
P-Replaces,5
P-Popularized,5
P-Designated_by,5
P-rooted_in,5
P-painted,5
P-ties_to,5
P-Contributor,5
P-has_historical_ties_to,5
P-Shot_at,5
P-Prime_Minister_of,5
P-Played_a_role_in,5
P-Mixed_by,5
P-direct_connection,5
P-was_inspired_by,5
P-No_connection_to,5
P-Produced_at,5
P-Year_established,5
P-Responsible_for,5
P-Educated_by,5
P-reported_on,5
P-Renamed_in_honor_of,5
P-adapted,5
P-shares_themes_with,5
P-Producer_of,5
P-category,5
P-Career_connected_to,5
P-field,5
P-Family_origin,5
P-Trained,5
P-employs,5
P-Depicted_in,5
P-Category,5
P-serves_as,5
P-Regulated_by,5
P-proposed,5
P-Work_exhibited_at,5
P-Cause_of_death,5
P-Distributed_via,5
P-Delivered,5
P-lyrics_by,5
P-Publisher,5
P-taught,5
P-Part_Of,5
P-travels_through,5
P-settled_in,5
P-Live_in,5
P-used_in,5
P-starredIn,5
P-supports_markup_format,5
P-restored_by,5
P-Documented,5
P-writes_about,5
P-interviewed_in,5
P-ParticipatedIn,5
P-impacts,5
P-Appear_in,5
P-took_over,5
P-Assistant_Coach,5
P-Recorded_by,5
P-signed_to,5
P-now_known_as,5
P-Manufactured_by,5
P-released_album,5
P-fined,5
P-Transitioned_from,5
P-premiered_on,5
P-Session_location,5
P-signed_with,5
P-traded_from,5
P-potential_customer_of,5
P-Godmother_of,5
P-Operates_on,5
P-Co-starred_in,5
P-perform,5
P-Influence_extends_to,5
P-participated_alongside,5
P-Elected_to,5
P-location_in,5
P-honors,5
P-obtained_degree_from,5
P-Co-founder_of,5
P-contributor_to,5
P-Added_to,5
P-played_role,5
P-Named_as,5
P-Series,5
P-Did_not_mention,5
P-Partnerships_with,5
P-Promoted_by,5
P-Influence_in,5
P-partner,5
P-oversaw,5
P-Documented_in,5
P-Appears_as,5
P-Appears_alongside,5
P-Was_a_member_of,5
P-Featured_artist_in,5
P-Drafted,5
P-advocates_for,5
P-aligns_with,5
P-co-authored_with,5
P-Criticized_by,5
P-Previously_worked_at,5
P-Established_on,5
P-language,5
P-lives_in,5
P-Stars_as,5
P-Abbreviation,5
P-was_president_of,5
P-Abbreviation_in_name,5
P-Has_historical_ties_to,5
P-Supported_operating_system,5
P-Adapted_by,5
P-performed_with,5
P-spoke_at,5
P-Serves_area,5
P-Predecessor,5
P-stars_as,5
P-Swept,5
P-interviewed,5
P-founded_with,5
P-Was_with,5
P-Appointed_as,5
P-CompatibleWith,5
P-Provided_voice_for,5
P-Execution_location,5
P-Became_part_of,5
P-Appointed_to,5
P-Degree_obtained,5
P-Wears,5
P-awards,5
P-Set_within,5
P-Resembles,5
P-includes_titles_from,5
P-Serves_as,5
P-Worked_At,5
P-includes_programming,5
P-Produced_in_collaboration_with,5
P-directs,5
P-Serves_region,5
P-is_located_near,5
P-invented,5
P-mentored_by,5
P-Served_as_Vice-Chancellor,5
P-Studies_at,5
P-Scored,5
P-Chancellor,5
P-Studies,5
P-has_bus_route_via,5
P-not_mentioned,5
P-serves_region,5
P-is_close_to,5
P-Offers_course_in,5
P-connectedTo,4
P-partners_with,4
P-Conducted_by,4
P-In_state,4
P-connection_through,4
P-suffered_from,4
P-Travels_to,4
P-adapted_from,4
P-Patron,4
P-went_to,4
P-Starred_alongside,4
P-has_no_connection_to,4
P-lived_near,4
P-Held,4
P-Established_after,4
P-awarded_in,4
P-involvedWith,4
P-Active_during,4
P-Location_of_work,4
P-centered_in,4
P-Admitted_to,4
P-Treated_at,4
P-Was_born_in,4
P-Flow_through,4
P-Drove,4
P-assisted,4
P-Describes,4
P-participatedIn,4
P-Central_to,4
P-acknowledges,4
P-Indicates,4
P-Identified,4
P-Mentioned_in_relation_to,4
P-Engages_with,4
P-spent_time_in,4
P-teammate_of,4
P-central_to,4
P-used_for,4
P-Seat_of,4
P-is_subsidiary_of,4
P-Compared_to,4
P-Recorded_with,4
P-Stayed_in,4
P-Affected,4
P-mentored,4
P-Alias,4
P-built,4
P-Later_known_as,4
P-Exile_location,4
P-compares,4
P-Borders,4
P-host_city,4
P-Exiled_from,4
P-Co-wrote_with,4
P-contributed_by,4
P-Released_in_year,4
P-Broadcast_by,4
P-Assisted,4
P-Ruled_from,4
P-court_location,4
P-wrote_in,4
P-tested,4
P-known_as,4
P-describes,4
P-Described,4
P-fled_from,4
P-Location_near,4
P-Includes_region,4
P-Mentioned,4
P-accused,4
P-origin_location,4
P-Historical_tie_to,4
P-works,4
P-available_via,4
P-Overthrew,4
P-opposed_to,4
P-links_to,4
P-Recruited,4
P-Referenced,4
P-Held_on,4
P-creates,4
P-Exiled_to,4
P-Broadcasted,4
P-Works_on,4
P-Same_as,4
P-participant_of,4
P-born_on,4
P-prominent_figure_in,4
P-Winner_of,4
P-Located_In,4
P-Competed_alongside,4
P-fought_in,4
P-ruled,4
P-Landed_in,4
P-organizes_event,4
P-Headquarters_in,4
P-Celebrates,4
P-Example_of,4
P-Admired,4
P-performed_during_tour,4
P-Introduced_in,4
P-Arrived_in,4
P-Drew_inspiration_from,4
P-Namesake_of,4
P-Maintained_ties_with,4
P-moved,4
